GR,RHOB,ILD,SP,NPHI
-999.0,-999.0,-999.0,-37.25,-999.0
-999.0,-999.0,-999.0,-37.71879959,-999.0
-999.0,-999.0,-999.0,-38.125,-999.0
-999.0,-999.0,-999.0,-38.65629959,-999.0
-999.0,-999.0,-999.0,-38.46879959,-999.0
-999.0,-999.0,-999.0,-38.375,-999.0
-999.0,-999.0,-999.0,-38.625,-999.0
-999.0,-999.0,-999.0,-38.84379959,-999.0
-999.0,-999.0,-999.0,-38.75,-999.0
-999.0,-999.0,-999.0,-38.84379959,-999.0
-999.0,-999.0,-999.0,-38.6875,-999.0
-999.0,-999.0,-999.0,-38.71879959,-999.0
-999.0,-999.0,-999.0,-38.71879959,-999.0
-999.0,-999.0,-999.0,-38.71879959,-999.0
-999.0,-999.0,-999.0,-38.46879959,-999.0
-999.0,-999.0,-999.0,-38.09379959,-999.0
-999.0,-999.0,-999.0,-37.90629959,-999.0
-999.0,-999.0,-999.0,-38.0,-999.0
-999.0,-999.0,-999.0,-38.15629959,-999.0
-999.0,-999.0,-999.0,-38.40629959,-999.0
-999.0,-999.0,-999.0,-38.5,-999.0
-999.0,-999.0,-999.0,-38.71879959,-999.0
-999.0,-999.0,-999.0,-38.71879959,-999.0
-999.0,-999.0,-999.0,-38.8125,-999.0
-999.0,-999.0,-999.0,-39.0625,-999.0
-999.0,-999.0,-999.0,-39.15629959,-999.0
-999.0,-999.0,-999.0,-38.59379959,-999.0
-999.0,-999.0,-999.0,-38.40629959,-999.0
-999.0,-999.0,-999.0,-38.4375,-999.0
-999.0,-999.0,-999.0,-38.3125,-999.0
-999.0,-999.0,-999.0,-38.59379959,-999.0
-999.0,-999.0,-999.0,-38.3125,-999.0
-999.0,-999.0,-999.0,-38.21879959,-999.0
-999.0,-999.0,-999.0,-38.25,-999.0
-999.0,-999.0,-999.0,-38.09379959,-999.0
-999.0,-999.0,-999.0,-37.84379959,-999.0
-999.0,-999.0,-999.0,-37.53129959,-999.0
-999.0,-999.0,-999.0,-37.21879959,-999.0
-999.0,-999.0,-999.0,-37.65629959,-999.0
-999.0,-999.0,-999.0,-37.84379959,-999.0
-999.0,-999.0,-999.0,-38.09379959,-999.0
-999.0,-999.0,-999.0,-38.46879959,-999.0
-999.0,-999.0,-999.0,-38.71879959,-999.0
-999.0,-999.0,-999.0,-39.09379959,-999.0
-999.0,-999.0,-999.0,-39.3125,-999.0
-999.0,-999.0,-999.0,-39.6875,-999.0
-999.0,-999.0,-999.0,-40.3125,-999.0
-999.0,-999.0,-999.0,-40.0625,-999.0
-999.0,-999.0,-999.0,-39.71879959,-999.0
-999.0,-999.0,-999.0,-39.625,-999.0
-999.0,-999.0,-999.0,-39.875,-999.0
-999.0,-999.0,-999.0,-40.15629959,-999.0
-999.0,-999.0,-999.0,-40.375,-999.0
-999.0,-999.0,-999.0,-40.25,-999.0
-999.0,-999.0,-999.0,-40.0625,-999.0
-999.0,-999.0,-999.0,-40.03129959,-999.0
-999.0,-999.0,-999.0,-39.6875,-999.0
-999.0,-999.0,-999.0,-39.59379959,-999.0
-999.0,-999.0,-999.0,-39.46879959,-999.0
-999.0,-999.0,-999.0,-39.4375,-999.0
